Senior Java Back-End Engineer (Fintech);YayPay by Quadient;Киев, Днепр, удаленно;YayPay is building a cutting-edge accounts receivable management software that uses machine learning to help finance teams become revenue heroes. YayPay’s vision to help finance teams perform their most valuable work.
Java developer (Kyiv);Megakit;Киев;MEGAKIT is a company specializing in the automation and integration of small and medium-sized transport business. Cloud technologies and geo-targeting.
Middle Java Developer;Raiffeisen Bank Aval;Киев;The main task for team was to create CMD system with unique customer data record. We started development in 2017, in June 2018 we released on prod with PI/PE, in January 2019 LE).
Middle+ Java Developer;Solve.Care;Киев;Solve.Care is a global healthcare-on-blockchain technology company. Using innovative approaches, we tirelessly work to solve the complex problems that plague healthcare around the world.
Strong Junior/Middle Java Engineer;Sombra;Львов, Ивано-Франковск, удаленно;It’s a system for the optimization and acceleration of business processes/calculations. Project scope: migration between Microsoft SQL Server and PostgreSQL. Team: 1 Back-End and 2 Front-End Engineers.
Java Developer;INSART;Харьков;Leadspace is revolutionizing the B2B Sales and Marketing space. We are leading the field in applying advanced artificial intelligence and predictive modeling to solve common go-to-market challenges.
Java Developer;CHI Software;Киев, Харьков, Днепр, Запорожье;Requirements: — At least 3 years of commercial experience in Java development including Java 8 — Experience with Spring (IoC, Boot, Data, MVC, AOP, Security) — Experience with SQL and JPA/Hibernate — Experience with REST web services — Experience with HTML, CSS, JavaScript,...
Java Team Lead;MobiDev;Харьков;We are extending our MobiDev Team and pleased to announce an open Java Team Lead position for web branch. This position will make you feel free in your suggestions to development approaches and applied technologies.
Java Developer (1+ year of experience);Axon;Киев;You will be building a Multi-project Management System that will allow companies to determine project tasks, create a schedule, assign resources, and identify and track issues and risks on projects.
Middle Java Software Engineer (ID 54937);SoftServe;Днепр;WE ARE SoftServe provides the service for our client to help him excel in the business.
Intermediate/Senior Java Software Engineer;Dev.Pro;Харьков;Become part of our enterprise-level project and influence the development of data-driven tools for quick service restaurants! Our client is a major player in the Point of Sale domain in the US market (the customers are 11 of the top 25 US-based fast food chains).
Mobile Developer (Java/Dart and Flutter);Vantino;Киев;Vantino is a software company based in Kyiv and Geneva. We are looking for a mobile developer capable of delivering working software using Dart and Flutter.
Senior Java Developer;Evolvice Team;Киев, удаленно;Our Client is a start-up spirit fintech company, providing a banking platform enabling businesses to create custom solutions for their financial needs.
Java Developer (Mentor);FoxmindEd Software;удаленно;Шукаємо крутих менторів для наших крутих студентів Пам’ятаєш себе на старті кар’єри? Багатьом з нас не вистачало сильного ментора, який підкаже, спрямує, обговорить з тобою різні підходи, рішення, тренди.
Middle Java Engineer;NerdySoft;Львов;NerdySoft is looking for a motivated and proactive Java Engineer to join our team.
Senior Java developer, GW;AB Soft;Одесса;4+ years of commercial backend development 2+ years of commercial Java development for Web Java Web (servlets, filters etc) Maven (or other builders) Web technologies stack (HTTP/HTTPS, headers, sessions, OAuth, REST etc) Basic JS/CSS/HTML Understanding CI processes Unix console...
Middle+ to Senior Java developer (m/f/d);NextsolX GmbH;Киев;Who we need: • Technical background and 3+ years of relevant work experience; • Strong knowledge in Java, SQL/NoSQL, API Rest Design; • Advanced knowledge in WebServices/Cloud architecture, DevOps / Server administration; • Ability to work with Test driven development, understanding...
Middle/Senior Java Developer;Candor Global Services;Николаев, удаленно;Founded in 1989, Marval has become a leading global provider of integrated IT service management (ITSM) software. Our global services also include ITSM consultancy, ITSM education and ITSM training to help your business maximise operational excellence.
Senior Java Developer (with C++ or C#);Grid Dynamics;Киев, Харьков, Львов;Description: We are actively looking for a Senior Java Engineer with excellent technical expertise, who is interested in joining our growing project. As a key engineer, you will be working in collaboration with worldwide industry experts.
Middle Java AQA Engineer;Avenga;Киев, Львов, Винница, Ивано-Франковск, Черкассы;Avenga is a global IT and digital transformation champion. Together, we are more than 2500 professionals with over 20 years of experience. We deliver strategy, customer experience, solution engineering, managed services and software products.
Senior Java Developer;Vocalics AI;Киев;Vocalics AI creates cutting-edge technology that lets synthetic speech sound natural. Our AI breakthrough creates dubs and voice-overs in foreign languages which faithfully reproduce the emotion, intonation, and speaking style of the source media.
Team Lead back-end (Kotlin) Engineer;Lohika;Киев;Purpose of the job: Our customer is a company that designs and develops an on-demand staffing platform for temporary workers. They are looking to change the future of work by adding transparency and automation to the staffing of blue-collar positions.
Senior Java Developer/Architect eCommerce;BPC Ukraine;Киев;• Опыт бэкэнд разработки на Java (от 4х лет и выше) • Знание технологий и фреймворков: Core Java 8+, Spring Framework, Message-Oriented Middleware, JPA (Hibernate or EclipseLink), Web-Services (SOAP, REST), JSON, XML, jUNIT, Maven • Хорошее знание SQL и опыт работы с реляционными...
Senior QA Automation (Java) for EVA Team;Parimatch Tech;Киев;We are looking for a strong Automation QA.
Senior Java Engineer;Intellias;Киев;Our client is a company that enables people, enterprises, and cities to harness the power of location.
Senior Java Developer for Blockchain product;TruePlay;Киев, удаленно;TruePlay capitalizes on the latest distributed ledger technologies, making the process of player activity tracking completely easy and transparent for any party involved. Used technologies in the project: Java 8, Spring, Hibernate, Servlet API, jsf2, Rest API, PostgreSQL.
Senior/Middle Java Developer;Pragmatic Play Ukraine;Киев, Винница, Житомир, удаленно;Pragmatic Play Company welcomes talented professionals to join our challenging and dynamic project. We are looking for passionate, innovative, results-oriented specialist with heart-deep commitment to success to be a part of our company.
Java Software Architect;Advanced Software Development (ASD Ltd.);Черновцы;Do you love to code and excel at solving complex problems? Do you take joy in learning and working with the latest technologies? If your answer is yes, then this is your opportunity!
Software Engineer — Backend (Java & JavaScript);WeAreBrain;Киев;Our client, Maxeda, is the largest retail group in the Netherlands which owns and operates building materials stores across the Benelux Our Kyiv-based team is working on key Client’s digital platforms: — online stores for the Netherlands www.praxis.nl & Belgium www.brico.be...
Strong Middle Java Developer;NaviTrack;Одесса, удаленно;Компания «НАВИТРЕК» — национальный оператор рынка систем мониторинга и удаленного контроля стационарных и движимых объектов, специализируется на предоставлении полного спектра услуг в сфере GPS мониторинга.
Java Developer;Bookmap;удаленно;Bookmap is a high-performance market data visualization & trading platform. It is used for trading futures, stocks and digital- cryptocurrencies at CME, Eurex, Nasdaq, GDAX and many other exchanges. Visit https://bookmap.com/ for more details.
Java Software Developer;Modirum;Таллинн (Эстония), удаленно;• You have prior experience as Software Developer minimum for 5 years • You have strong technical background • You have experience with Java development • You are good in English as you need to talk and write in English every day • Ability to work independently
Senior Java Developer;OpsWorks Co.;удаленно;OpsWorks Co. is a Ukraine-based outsourcing/outstaffing IT company with headquarter in Kyiv.
Java Developer;PXnt;Киев;• Опыт бэкэнд разработки на Java (от 4х лет и выше) • Знание технологий и фреймворков: Core Java 8+, Spring Framework, Message-Oriented Middleware, JPA (Hibernate or EclipseLink), Web-Services (SOAP, REST), JSON, XML, jUNIT, Maven • Хорошее знание SQL и опыт работы с реляционными...
Middle/Senior Java Developer;CREDIT AGRICOLE;Киев;Digital Banking Platform Development project
Java Backend Developer (Cloud) (IRC96837);GlobalLogic;Киев;Our client is a leader in cloud data integration and data integrity, whose end customers are pioneers/innovative leaders in their market when it comes to data and cloud projects.
Team Lead Kotlin #7549;Lohika;Одесса;5+ years of commercial development experience 1+ years of experience in a Team Lead role Strong Kotlin knowledge Experience with Micronaut or similar framework Good understanding of Agile methodologies (Scrum, Kanban) Understanding of REST architecture Understanding of microservice...
Lead Java Developer;EVOLVE Dev;Киев;Our client, AVI-SPL is a digital workplace services provider that works with organizations globally to improve team collaboration and unlock new business value.
Backend разработчик;Infomir;Одесса;Опыт работы Backend разработчиком Знания языка Java, JavaSkript Опыт работы с базами данных Знания MySQL, HTML, SQL Приветствуется опыт с биллинговыми системами и опыт фронтендом.
FullStack Java developer — remote work for US company;Bright Pattern;удаленно;We are looking for FullStack Java developer to join our professional team bringing the next generation contact center technology. Bright Pattern technology is the industry’s simplest, most powerful cloud contact center.
Senior Java Software Engineer (ID 56141);SoftServe;Харьков;WE ARE Our client is the world’s largest travel site, operating at scale with over 700 million reviews, opinions, photos, and videos, reaching over 390 million unique visitors each month and covering approximately 7.7 million accommodations, airlines, experiences, and restaurants.
Java Engineer;Waverley Software;Харьков, Львов, удаленно;We are seeking self-motivated Software Engineers to join our rapidly growing development team. The ideal candidate will have experience solving complex business problems as well as developing high performance, large scale, data-driven applications.
Java Developer for Austrian projects ( located in Kyiv );Raiffeisen Bank International AG;Киев;Is Software development your passion? Do you want to be part of a team with great software engineers in order to create excellent solutions?
Strong Middle AQA Java;Intellias;Киев, Одесса;Digital Banking platform is looking for proactive and collaborative colleagues for its existing QA engineering team, to not only develop existing testing framework, but also provide fresh view on an existing testing approach.
Senior AQA Java;Intellias;Киев, Одесса;Digital Banking platform is looking for proactive and collaborative colleagues for its existing QA engineering team, to not only develop existing testing framework, but also provide fresh view on an existing testing approach.
Senior Java Developer /Team Lead JB-298;AllStars-IT Ukraine;Киев;Our client — is leading the cybersecurity fight against hackers and protecting the world’s largest organizations from cyber-attacks.
Senior Java Developer JB-326;AllStars-IT Ukraine;Киев;Our client — is leading the cybersecurity fight against hackers and protecting the world’s largest organizations from cyber-attacks.
Middle QA Automation engineer (Java);Levi9 Ukraine;Киев;Development, roll-out, and support of country-based of Our Client’s Next Generation Digital Architecture. Currently, we are setting up the NG triangle which is the heart of the Client business process, runs through a triangle of domains called PPA, CPQ, and Fleet Ops.
Java Developer;INSART;Харьков;Salsa Labs is a premier SaaS technology company providing online organizing tools to nonprofits. The tools they create allow thousands to organize and create change across the country and across the globe.
Middle Java Developer;Kyivstar;Киев;We are looking for a Back-End Developer to join our Product Development Team. You will join the in-house development team, whose main responsibility is building Kyivstar’s new products.
Middle Full-Stack (Java and Angular) Developer;Delphi Software;Киев;Siklu Communications is a pioneer and a leader in the mmWave (60GHz — V Band, 70/80GHz — E Band) market since 2008. "It is a Gigabit world and customers are demanding gigabit everywhere. mmWave systems have been identified as the ideal technology to meet this challenge.
Middle Java Developer (Gaming Project);Sigma Software;Киев, Харьков, Львов, Днепр, Одесса, Винница, Сумы, удаленно;Do you like building JEE applications and working with JEE Application servers such as JBoss? Do you want to be a part of a talented and experienced team? Do you possess leadership traits paired with a strong command of the technology? Then join us!
Java Developer;Digitally Inspired Ltd;Львов, Одесса;We have multiple exciting opportunities for the experienced Java Developers to join our growing company office in Odessa. We are looking for motivated, pro-active developers willing to learn new technologies, working in a challenging and fast paced environment.
Middle Java Developer;Kyivstar;Киев;We are looking for a Back-End Developer to join our Product Development Team. You will join the in-house development team, whose main responsibility is building Kyivstar’s new products.
Senior/Lead Java Engineer [Dnipro];EPAM;Днепр;Striving for excellence is in our DNA. Since 1993, we have been helping the world’s leading companies imagine, design, engineer, and deliver software and digital experiences that change the world. We are more than just specialists, we are experts.
Team Lead Java Engineer (d/f/m);AUTO1 Group;Киев;AUTO1 Group is Europe’s leading multi-sided platform for the used car sector. We lead business activities in more than 30 countries worldwide. By connecting buyers and sellers through technology we enable dealers and consumers to trade seamlessly throughout Europe.
Java Developer;Playtika;Винница;We are looking for Developer to warm welcome to the team of professional and experienced developers. We love agile and use TDD. According to millions of users our projects are definitely high-load.
Middle/Senior Java Developer for Carerix;Daxx;Киев;Project description: Carerix is a Dutch company providing recruitment software that helps recruitment agencies better organize and navigate through their processes.
Middle Java Developer;IVIA;Одесса;U.S-based product software development company with an R&D office in Odessa working on the innovative solution for logistics market. One of our main customers is the international transport company — Millhouse Logistics.
Senior Java Developer;KSTT;Киев;• 4+ years of experience with Java/J2EE server side development • Experience with designing and implementing large scale, production, multi-module systems and services • Knowledge of Java basic concepts: GC, multithreading, locking and synchronization.
Front-end Software Engineer;Ubiquiti Inc;Киев;The Ubiquiti Kyiv office is looking for engineers who share our passion for innovation and technology and desire to do something extraordinary.
Middle/Senior Java Developer;Vector Software;Львов;The ferry crossing Umeå — Vasa is a key part of the European route E12 that begins in Mo i Rana, Norway, transverses Sweden and ends in Helsinki, Finland.
Java Full Stack Developer with strong Back End skills for Twago;Ciklum;Днепр;On behalf of Twago, Ciklum is looking for a Java Full Stack Developer with strong Backend skills to join the Dnipro team on a full-time basis. Twago is a successful, internationally active enterprise on its way to becoming an established online company.
Java Software Engineer;Broscorp;Днепр;Клиент — британский стартап, создающий новые продукты для POS-терминалов. Тщательно продуманная архитектура и высокие стандарты качества кода.
SAP Hybris Developer;Itransition;Киев, Харьков, удаленно;Опыт работы от 2-х лет, в том числе c SAP Commerce от 1-го года на реальных проектах Знания и опыт практического использования стека технологий SAP Commerce, а также смежных Java-технологий, Java EE (J2EE), RDBMS Мотивация продолжать совершенствоваться в SAP Commerce и помогать...
Java Technical Lead;Levi9 Ukraine;Киев;We are looking for an experienced Java Developer to join our team to work with our client: Dutch company delivering omnichannel banking services.
Middle/Senior Java Developer (NEW Product, eCommerce);RocketMe;Харьков, удаленно;We are the UK lead in the retail business that provides to the market a B2C product with a great team of enthusiastic people delivering stable, comfortable and user friendly experience for our clients who are ordering thousands of items a day.
Middle Java Software Engineer (ID 56195);SoftServe;Днепр;WE ARE Our client is one of the world’s well-known IT-companies, with a portfolio of tools used widely used in IT industry. It is a multinational company with development offices across the world.
Middle/Senior Java Developer;Andersen;Киев, Харьков, Днепр, Одесса, Черкассы, Чернигов, Минск (Беларусь), удаленно;Международная аутсорсинговая IT-компания Andersen приглашает присоединиться к команде опытного и талантливого Java разработчика! Заказчик — крупнейшая тревел-компания, специализирующаяся на логистике путешествий нефтегазовых, морских и корпоративных компаний.
